sentence,emotion
still feel foggy get routine son,1
feeling view going popular fine,0
want hold feeling shocked awe wonder forever,0
heard rumour st year exam results fear might one failures,1
want feel valued appreciated know people love agent going anywhere even nature relationship changes,0
know days feel distracted,1
use regularly relaxing music always feel invigorated afterward,0
feeling distracted tend practice eyes shut much possible,1
feel like perfect see couture influences even know tends,0
specifically wanted ago feeling shy make quite opposite hard get far enough away hi get good pick,1
also not feel weird sleeping bed two slept,1
wish okay thinking earlier today thing cooped amp restless made feel needy,1
lost weight could fit tiny skirt unable wear not feel confident,0
hope feel bit create soon miss presence life blow,0
no fan current president conservative made feel unwelcome,1
enclose verses could not weigh much thinking feeling curious hear odd couple,0
begin not feel complacent life,0
feel vulnerable alone,1
remember feeling inspired thinking fine example printing,0
feel like always one getting punished stupid things feel like chastened behaving,1
really feel life perfect right much ask hope everything would stay,0
simply feel contented,0
not saying cut everyone life feel important find comfort solitude meditation working projects alone,0
think stupid feeling nervous,1
feel honored,0
feeling act god work life amazing feeling,0
feel like bird flying note air carefree manner,0
revise replies mind make sure reply sounds appropriate enough person receive reply not feel offended,1
felt sad friend mine died felt something irrevocably gone away,1
died would flex matt feel regretful not coming visit,1
feel education families supporting education matas papa key,0
sure lost feel like everyone hostile toward hate feeling,1
feel like boring sewing makes since easy nothing else say fabric usage,1
always liked use original fragrance fresh lightly scent underwear drawer feel gorgeous amorous girl,0
feel like talented young man not feel talented not work,0
feel curious things around,0
feel reason apart others lives help hi become something push hi succeed successful happy,0
feel uncomfortable guess,1
feel pretty mellow far whatever healing wounding process may getting underway,0
wonder sometimes whether added antagonism misunderstanding many people towards us feel reluctant wholeheartedly support traditional armistice day remembrance,1
legs would feel thirty miles would come around like always,1
know unfair reaction run ways explain feel shaken best come right,1
seriously feel blessed support home amazing,0
feel abused malign mostly tired nervous feeling anticipating danger,1
feeling pretty restless right tying,1
know woman tourist place go note montana area infrequent visitors area want head harbor feel gentle cawing seagulls tapping water wood piling relaxing breeze coming water,0
admit hilarious e cards seriously exactly feel stressed feel moment could start,1
wrote last year feeling dull inarticulate normal,1
id kick gear feel irritable no motivation ever,1
feel child innocent feelings illustrating,0
satisfaction feeling no longer supporting contributing looted driven consumers made walking corpse america revered younger,0
start feel resentful,1
spend vacation no obligations no headache no feeling like emotional blackmailed three places,1
feel herpes coming would surprised point make check clinic wednesday,0
feel tucked like everyday life,1
worked really hard year try make child note class feel like valued,0
feeling disheartened words late,1
not feel like bitch time upon introspect would not think trying shake hi,1
still second guess still terrible time making definite decisions certain truths know feel assured truths,0
not feel like eggs benedict something equally delicious,0
feeling way trusting,0
feeling inspired summer elements favorite past time beach summon,0
feel smiled love even gorgeous,0
continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural midst american city life much different cultural midst amsterdam,1
make arcade simple purpose try make feel absolutely comfortable physically emotional practically absolutely,0
ca not say feel sympathetic,0
feeling eager hoped not tube ride eye london,0
go online see friend talking another one not talking feel ignored feel unmoved,1
not monitoring say anything ever come across blows feel offended please not stop,1
feel like weird cancer one time,0
want feel safe well maybe maybe small chance feel joy dreams come true,0
feeling cranks,1
also think puzzling particular administrator single praise ability get students read feels sir time not products use class time,0
tried fill befriending people knew using not care needed feel accepted even complete lower,0
feel stressed always,1
remember feeling another cramp also ignored,1
hope feel mellow well fed well slept peace external world,0
also learned takes lot effort position thinking not break tears feeling exhausted guilty not better mon,1
feeling awful hung friend new baby day,1
feel relaxed fine,0
feel suffering really feel pain,1
go sleep feel giving precious time something else life,0
feel like neglecting beloved mon blow,0
shalt say cos din feel thing wrote keen xxx,0
feel terrified like note edge precipice staring ahead,1
feel totally listless exam come gone whole months front no un free time,1
feel furious right life advocates tell li die sobbing supporting politicians sympathy views,1
feel abused way,1
still paying attention feel distracted,1
started third block feeling hot cold singly time knowing still hours examination ahead no idea would good,0
resistant make suggestions feel outcome would not sincere,0
feel not terribly fond majority precise time,0
feel gaining control damaged goods aspects personal security,1
combed first interview left second interview feeling pretty fan breaking tactic,0
think kind taken us long build good inventor fauces oils spaces non perishables feel like chance making something delicious without specifically go buy every single item recipe,0
feel advise days whose children soon become teenager not cool pull kid high school pick smell canopy plants coming windows,0
feel victimized drag country heads note sand traditionalists hesitate call conservatives fear offending real honest god conservatives still think world created years ago stuff like skeleton remains kind hoax,1
would feel lucky call materials kits site mine beautifully curate,0
blood proved reason feeling lethargy rubbish low iron prescribed iron notables,1
mind feel like mind dangerous life,1
feel like love everyone least compassionate toward others,0
feel punished neglecting,1
feel like not capture beauty lovely polish,0
feel like lost main roots feel less secure emotional financially socially,1
feel like bite bullet every time think feel stressed not fully supported decisions,1
know obnoxious immature sounding verbal ties voice kind nasal not always come across like sharpest tool note shed especially feeling awkward knowing knowing know,1
id terrible nightmare feeling little disturbed,1
not want walk passed case customers feel disturbed,1
want sufferer able find note hope battle help feel not alone,1
feeling exceptionally reluctant go school tomorrow eve though monday timetable pretty good,1
felt feels delicious wheeeeee great night,0
not looking forward beaten not feeling like disappointment husband emotional pain,1
sick feeling happy,1
feel like almost convinced going pattern,0
also wear wearing dress makes feel slut feels like antique underwears obviously little bit edge maybe little bit little bit,0
feel perverse pride self control managed stay ordered not reach tempting human flesh close us,1
feel impatient easily annoyed outraged latent defiance seems bolivia prominent characteristic days,1
positively giddy note kiss left morning last official class year feeling little sad,1
feel support hi also not help feel jealous,0
mainly like text feel like much clever written word rather note spoken,0
seriously feel not respected not privacy ordered around,0
said note words devotee feel relieved hear title band fallen person become afraid title uplifted devotees not consider true devotee hence unworthy benefit aspect personality,0
personalities feel pain suffering,1
guess would feel like joseph walt trusting care mother finances six months died times want defend self god makes quiet,0
warming starting feeling little lethargy,1
feel excellent sometimes nothing especially since not really keen video games anymore watch bit aime moves got life,0
wonder master feeling r wanting eager please master could much enjoy attentions wo not wrong no desire return affections,0
feeling little bit position nothing quite hard first savings eaten quickly costs not want become burden not boyfriend come end feeling brighter inspired things come,0
feeling rather sentimental right say feel lucky mass mon,1
make show feel isolated note crowd ill know wrong anti social feeling,1
learned turn emotions often find feeling completely blank mother crying continuously suicidalness,1
feel loyal style,0
understand may feel rather not bit vulnerable homeless london that precise way,1
finally stop feeling listless like waste space,1
know feeling agitated side effect high dose,1
feel shift positive,0
feeling brave enough,0
fear thief,1
feel clever nov,0
always spend money not feel dissatisfied exit store,1
feeling really quite angry,1
feel merry not supporting civil unions gay equality,0
feel really ashamed,1
feel amazing people life,0
finally left feeling judged ridiculed intelligent,0
starting feel bit insulted stranger,1
many days feel hopeless today light end yellow brick road shining little brighter,1
actually feel sorrowful,1
see women wearing boots feel envious want curse,1
feel feel tell together apologize make keep loving bits bits,0
go say feeling impressed name vein right,0
began not feel senses dull cold black unconsciousness came,1
suspect feel less fond private,0
honoured young woman felt comfortable enough ask kind faut hawk thing going back must looked duke enough feel safe talking,0
wonder cast cabman told perfect part feel insulted complimented,1
feel convinced plus many diverse price tags feel sure everyone come funds plot lighted relatively economically,0
feel empty note baby,1
stopped feeling exhausted http provokingbeauty,1
feeling font friendly,0
hand beads consciously breathing consciously working feel calm list things accomplish afternoon,0
always feel intimidated people especially always compare people ever since young,1
made feel rotten,1
started feeling hostile checking haemorrhoids,1
love wearing new shoes feel glamourous get pair designer shoes love box trimming come,0
know largely fact feelings romantic sexual successfully hidden,0
love feeling something warmly hugging feeling precious small precious someone something,0
feeling far mellow normal,0
became dismayed studied people wearing started feeling like though outfits gorgeous bought way,0
not want wax draw anything need not unibrow maybe get rid spare hairs creeping toward eyelid feeling brave,0
feeling lucky width li style border pp list style outside margin pp pp,0
recall high school feelings longing watched olympic runners feel st,0
woke feeling confident watched bodypump gather reaching tips compulsory cubs,0
not say strong feelings always make skeptically first,1
want talk limited time note phone current arrangement feel resistant bring,1
beginning feel good chance might pass,0
feel like little control help sweet pea better know ahead,0
feel like note receiving end violent attack,1
feel worthwhile document people not familiar batch files,0
feeling especially thankful many small blessings life right,0
hoping weatherman right forecast stay home not venture ran tomorrow feeling kind creative,0
feel like note edge microcosm one awkward moment missed party id note outside,1
feel bit funny actually,0
learnt nothing else note last two years best feel way trusting instincts,0
feeling also blossoming eager anxiety,0
feel burdened share,1
always want neo side sleeping without feels weird eve though not happen often that get,0
not feeling outfit heels gorgeous,0
feel confused,1
feel session useful gave tools need move forward life,0
feel selfish bringing loneliness child know parents newtown grieving lost babies,1
took away disappointed feeling gaining gave heart heal lord one love never betrayed never lose loyalty even not loyal,0
feel envious embarrassed,1
could feel frantic need hi need make,1
feeling overwhelmed responsibilities teacher someone trusting precious gift honor,0
feel tranquil right great,0
feel frustrated new music new lyric clearly nothing,1
thought going talk try work things shocked find steve decided wanted note thing broke feeling unmoved,1
would not feared witness incredibly well spoken bounce making em kid feel completely unwelcome,1
tend stop breathing feeling stressed,1
smoker years quit weeks ago right finished book not believe free feel knew quit terrified life without cigarettes,1
go mailbox talk mamma note note grocer clerk etc no matter small step limited risk complete total willingness experience whatever thoughts feelings sensations emerge important,0
already feeling frantic,1
feel like insecurity good thing first started writing pictured,0
feel complimented insulted,1
grave fall submission not feel submission note least,1
feel tender fine,0
feel irritated passed even like someone wakes moment note edge falling deep slumber,1
made work feeling little foggy,1
want love feel like sort hindrance keeping loving,0
feel fond ok second thought really sensitive spelled everything,0
ill get round quarter feeling hopeful one,0
starting feel unwelcome life people already tell,1
feel absolutely fantastic hope baby,0
watched snow fall accumulate note confer trees shivering shirt sleeves feeling vigorous,0
feel bitter honkerblonked general,1
feeling father already convinced hi,0
love feel passionate living dream gotten taste feels like nothing stop,0
play note rain squeals glee feeling mud swishing toes enjoy pretty much anything takes place outdoor,0
feeling humorous put cold callers hold,0
busy stuffs never blows threads make feel miserable,1
feel energies curious life god potential something back society finding someone heart,0
feel privileged also lot work,0
pretty happy little note caseated side feel thrilled,0
close eyes hear pitiful wailing sounds cries taste salt taste tears feel anger hurt saturating heart,1
bought virtually fat free thousand islands feeling impressed hold large quantities substance note leaves lecture cucumber friend total sugar becomes not burn fat,0
sure folks virginia florida handful swing states agree feel not put upon insulted constant carriage,1
feel like putting innocent man death row,0
not sure else help feel smart,0
begin not feel every waking moment devoted work,0
feel thankful lessons learning,0
feel longing sadness see families children than,0
feel distinctly called vermont focus little ones seem naughty,0
hope feel glad gave many things including memories cherish,0
feeling pretty worthless right,1
feel projects clever useful enough figured would start sharing instructables wrote first one weekend,0
continued think along lines probably would done dishes anger got wed fight feeling completely abused,1
not feel especially nervous finland landed paris little ensure would ahead us thought st grade student anne suominen,1
feel envious kiss certain moments,1
feeling like pretty happy mon,1
feeling passed sac feeling kind miserable frustrated life whole week,1
not scared anymore fine feel terrific surgery,0
still feel vulnerable around,1
honestly not sure feel stunned,0
feel daring person attract daring people life,0
left feeling quite embarrassed say nothing new,1
feel unwelcome place not decide scared anything ok situation staying dead end situation afraid things get worse,1
may may not cried thanking making children feel special loved,0
really want go buy bandage art gallery play feels amazing,0
feel like losing sense self adapt thinks loyal,0
feel burdened several loved ones miss big kid not seen since friday,1
feel still really low abdomen,1
feel like welcomed tight knit family make sure wo not feel alone ever,0
feel doubtful,1
usually use smaller legs however year students fine motor delays want students feel successful,0
get exercise feel like something worthwhile note meantime,0
feel like life rich fulfilling know people look way li feel misplaced pity,0
feel blessed amazed yes excited,0
feel resistant talking,1
try get least minutes day days week though know not skin lookout feeling particularly lethargy lazy,1
feeling beaten sick utterly devoid hope ever life want,1
feel resistant comment not want add pigeon seems clear involved not learned past experiences nor interested applying learning future projects,1
feel quite passionate communis tremendous importance personally theological,0
feeling happy well,0
find much time think without feeling depressed actually able write imagine without feeling wrapped like missing something near constant feeling cities,1
got feeling brig sincere strong desire help others become successful financially also building strengthening relationships christianity,0
feel like face feelings lot often then would liked,1
feeling energetic decided going bike rest temples,0
really like said understand way feel tone right blamed excesses note american dream seldom witnessed never er seen,1
happy get good results note field academic athletics,0
not know want work always something makes feel stressed anxious work whatever job may jobs require sort rules pressure,1
id pop chair feeling like something worthwhile,0
really hoping get far enough ahead us could feel like navigation delighted munching second control headed onto trail woods,0
feel like normally would angry actually think could never beautiful size,1
wonder many people feel like perspective think sake without wanting turn result happy work,1
feel indecision whether not feel book huckleberry find censured,1
known likes kamiki run laughs nozomi feels unpleasant knot stomach must think fool not nonchan,1
made choice start recognizing feeling unmoved kicks choose keep persistence level not allowing old reaction not shut,1
feel like hated celebrated not wait till day say made,1
still feel funny writing like maybe call spirit guide really observant cheerleader something,0
would rather feel nothing feel not surprised find life depressing grey rewarding,0
feel comfortable decision,0
get really sweat episodes stomach feel really funny like free falling,0
feeling overwhelmed lately,1
learnt much wonderful world beaubronz feel lovely fanning brand fits perfectly latest intra stolen bowdoin lashes mother asia democrat,0
feel rebellious not particularly like watching rooms get feeling may pretty good writing,1
not feel welcomed first entered morris quickly changed left feeling happy,0
contemplation feeling skeptically,1
become anxious recent times certainly feeling amongst people belief siege often disadvantage looked considered way different faith makes less worthy regard said,1
feel like care bit heartless not,1
hate thought toxins washing every single cell making feel horrible makes cringe,1
feel honoured posted series talented,0
love hi feel threatened hi around little,1
feel reading allthingsbucks blow brought tears eyes lump throat feeling not worthwhile thing upset not write lame blow,0
feeling determined not take long start nothing naughty stuff,0
feel honored many wonderful artists display work public see,0
remember fully stressed fun feel could lively,0
feel dazed http twitter,0
feel bitch hurting,1
always feel like assaulted pick,1
not thankful everything seems working wrap week new job also feeling pretty lucky people lives,0
feel incredibly isolated lonely,1
feel selfish talk anyone else thyreoid not want think dramatic shiny really hard understand yes someone look fine still feel terrible,1
blood test yesterday perhaps feeling particularly fond right doctors needle inside time spent dizzy head non meat eating nineteen year old female,0
admit worried feeling isolated work auricle pretty much unless someone needs,1
feeling like life fairly sweet,0
going clear note slate unilateral forgiving feel wronged someone love intentionally carelessness thereby notice forget perceived insults abuses,1
feel like year teach get passionate job find love kiss want try even harder,0
not one people bury feelings anger second giving sweet smile even pain anger,0
knew holy spirit work plus feels divine note gooooood way like massage reassuring,0
feel though reached point career highly respected,0
make light sometimes feel really awkward small groups one one conversations,1
lot good days feel fabulous lots energy lately also bad days feel gigantic slow clumsy,0
also feel like goose hated would know,1
not get wink sleep night continued feeling not fabulous next morning,0
feel like feel mistake time tucked sleep wo not take,1
love sliding nice big throbbing cock feeling gorgeous body man,0
found note novel position feeling bit uncertain stock market rally,1
feel like judging not not want seem like needy girl not know,1
definitely feeling festive,0
feel burdened presence,1
still feel little dazed sort disbelieving feeling oh god,0
feeling super excited weeks seem flying getting closer closer due date,0
turned page feel like no way getting back irresponsible years carefree college,0
favourite choice book us feeling generous limit something like,0
feeling energetic ali happier long time,0
feel really pathetic confronted,1
feel dangerous games activities,1
feel world class player note eczema mould would fantastic,0
feeling terribly burdened impending anxiety trying keep eyes note prize,1
feel could unpleasant layer love healing forgiveness expectation that things turn well,1
feeling gloomy completed nothing though supposed complete many things,1
not working amount would like feel like lifestyle change successful far,0
love worn industry feel satisfied fulfilled working say not really bring note big bucks,0
overhear victory tune weeks ringtone feel triumphant,0
love children literature authors not feel need dumb nothing kiss,1
quiet mixture not sleeping well feeling bit isolated big group,1
feel greedy money hungry absolutely,1
feel tucked want shut,1
feel passionate certain topic love backing position actual knowledge facts instead relying solely opinions,0
feel like today way suffering note exam day open books everytime went home,1
feel surprised makes,0
woke morning like feeling jubilant,0
feel like little kid whose mon proud touched soccer ball game,0
feel miserable note inside note outside like,1
must find way accept limitations older without feeling held back resentful,1
feel incredibly charmed people life exciting amazing chapter things,0
feel wronged judges people make times however also found actually life need responsible actions people around us,1
know feelings stem part not accepted mainstream importantly note communities seek belongingness,0
really like special edition really feel special songs,0
feel must blow constantly loyal fan baker sandwich scruncher course mind red,0
currently feeling way tucked mother tongue paper,1
feel innocent love,0
feel like sweet carry yet low glycerin meal not breakfast often dessert,0
feel safe encoding utf local en private false immobile false mobileclass isprivateblog false languagedirectio not feelings link red alternate type application atom title could use standing oration could,0
really lose lot resting homemaking instinct desire pregnant longer pregnant worse gets though get month reprieves feel create around six month mark notice post halloween,0
feel opportunity return not mon gods gracious gracious way giving heat desire despite self doubt uncertainty note past,0
feel really lucky found resource always felt answers needed asking,0
keep running hill fitness wise feel fine along foot calves starting hurt also begin not tire,0
always sensitive every sense feels like assaulted drag away darkness,1
supposed ought feel thankful adding sarcastic edge age,0
could not help feel totally distraught utterly helpless cornea kidnapped tortured almost death band enemies desperate freedom,1
feel unfortunate mister magnum sounds cheers travelling well long periods race,1
feel tortured tragic enough without importance sparkle,1
feel selfish thinking way feel lonely times,1
feel drained energy,1
think day chatted mon amp also feeling horny masturbate,0
feeling pretty stinking thirty horrible reviewed,1
feel helpless,1
feeling awful sunday,1
not know started feel weird pressure largely silent audience falsely inflated sense importance expressing ever articulate opinions said audience,0
woke nap feel extremely agitated grumpy,1
studying really hard discovering pretty words never crossed mind portray exact meaning feel like missed lot,1
feel lonely work not social bird usually school,1
love comments feel free post one,0
feel intimidated great women family tree,1
truly feel lot position nothing help conditions workers families kiss,0
think may reason would want fly back use oblivious conflicts plague conflicts feel helpless resolving,1
saw video cent kissing maria surprisingly not feel like hated,1
feel like rather unkind,1
not feeling submissive,1
feel bit obnoxious definitely weather,1
says pressing tarso signs bringing faces close enough feel signs agitated breath,1
indifferent tell feelings words treasured ever since feeling start bloom one moments want keep,0
feel casual entire future,0
still feeling strong missed couple lifts,0
sat couch several hours feeling pretty low,1
checked long time ago say happy way back feeling contented everyone everything around,0
write hi something big happened like ff strip limestone times write hi tell hi feeling sweet baby struggles growing personality,0
hate expectation that must need man life feel worthwhile valued,0
feel loving kindness allow us think feel conscious interact various things note body mind,0
feel completely blessed part group,0
type not use moisturizer skin oily product designed contain notion moisturizing ingredient make skin feel lovely without oils,0
afraid environment makes feel relaxed cause,0
feeling overwhelmed want physically shake everything way would spider shirt,0
say little piece feels agitated watch discussions race style color font family georgia serf font size pp line height,1
feel not touch said love bit much not deny broke heart not find no crush not come back home,1
feel little frustrated ache longing settled heart weariness life slipped around shoulders like unwelcome friend,1
even remember trying last year feeling happy nowhere near closing,1
broke uncle radio player accidentally feared going cut going house well playing,1
feeling conflict whether not follower christ celebrate ever popular pagan originated modern day holidays,0
feeling impatient took pills,1
feel carefree weightiest yet worried grounded time,0
feel sincere repentance past opposition not civil rights,0
one point put son daycare mon constantly made feel like terrible parent,1
things list feel super guilty ca not relax,0
feel uncertain motives feel balance commitment process counselling reconciliation,1
feel like really valuable,0
feel like go emotion angry,1
much training grammar language reading something written like kind feels like assaulted,1
feeling insulted everyone comparing sea,1
still wake every morning feeling blessed unable believe lucky enough able call amazing family mine life,0
feel leaders countries not depict people countries love god hope no one thought way support like george w,0
feeling really horny afternoon no one fulfill sexual desire bed create thoughts help not forgetting hands ahahah work like magic,0
know stones not must food determined li frugal lifestyle without feeling deprived,1
giggler nervously feel threatened,1
feel horrible helplessness make things better feels like kill inside,1
taking pictures house feel far mess post photo online ill clean bit post,1
feel hated loathed,1
picked feeling little apprehensive,1
feeling numb,1
feeling every bit spiteful vindictive bitch times,1
got feeling look eyes sincere,0
feel assured mind not one,0
feel unfortunate not note soundtrack,1
ca not believe feel nervous father reassure nothing nervous makes nervous,1
feel upright day complete around feel right little nerve dream date things pursue wedding always dream mine day min,1
not think would come fast would come suppose feel cranks today,1
feeling going stubborn,1
feel lonely lost,1
would feel empty,1
start feel agitated lacking patience right cranks,1
know easy twist things create explanation still not sure one help feel little less mad,1
feeling rich know blessed,0
not tell not want feel afraid,1
love media coverage sometime feel put ugly picture,1
feel though little neglectful fellow baggers,1
sort hate glasses make eyes look small since huge eyes going quite upset hoping bigger frames make feel less paranoid,1
not believe moment feel useful washing dishes,0
feel distressed music mind write op,1
feeling quite lonely monday half term,1
feel really socially awkward not like get meet new people things groups adventurous,1
admire athletics feel like would entertained got watch severely shape people participate olympic events,0
